20,97,13,2,152.0
47,0,11,0,0.0
40,97,50,2,80.0
22,97,0,1,20.0
98,0,14,0,0.0
89,97,40,0,0.0
72,97,27,0,0.0
63,97,12,0,0.0
54,97,59,0,0.0
54,97,59,0,0.0
95,97,30,0,0.0
85,97,4,0,0.0
53,97,91,0,0.0
58,97,5,0,0.0
60,97,23,0,0.0
11,97,14,0,0.0
285,97,39,0,0.0
957,97,80,0,0.0
166,97,6,0,0.0
913,97,58,0,0.0
92,97,93,0,0.0
336,97,76,0,0.0
18,97,90,0,0.0
47,97,45,0,0.0
396,97,38,0,0.0
305,72,34,0,0.0
405,72,88,0,0.0
203,72,22,0,0.0
511,72,29,0,0.0
808,72,92,0,0.0
407,72,49,0,0.0
537,72,44,0,0.0
598,72,66,0,0.0
324,72,75,0,0.0
238,72,12,0,10.0
322,72,60,2,45.0
904,72,31,2,45.0
